LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
     132     1000    14000        2          3598        167571
     133     1000    14000        3         22497        149953
     134     1000    14000        2          2414        169737
     135     1000    14000        3         42018        172681
     136     1000    14000        3         34637        167684
     137     1000    14000        1           337        170830
     138     1000    14000        3         14300       2084490
     139     1000    14000        3         34639        164367
     140     1000    14000        3         25264        150535
     141     1000    15000        3         40833        181070
     142     1000    15000        2          3356        188985
     143     1000    15000        3         28947        187480
     144     1000    15000        3       2003949        178626
     145     1000    15000        3         31155        169555
     146     1000    15000        3         36069        175722
     147     1000    15000        3         42301        179261
     148     1000    15000        3         33837        171778
     149     1000    15000        3         47350       2117373
     150     1000    15000        3         48103        177088
     151     1000    16000        4        188882        192359
     152     1000    16000        3         49650       2090661
     153     1000    16000        3         70797        186111
     154     1000    16000        3         54147        181988
     155     1000    16000        3         47983        185976
     156     1000    16000        2          3688        186527
     157     1000    16000        3         40057       2186155
     158     1000    16000        3         37987        172388
     159     1000    16000        3         32890        176061
     160     1000    16000        3         42172        178057
     161     1000    17000        3         57319       2032448
     162     1000    17000        2          4227        192164
     163     1000    17000        3         31320        180499
     164     1000    17000        2          3837        191207
     165     1000    17000        3         37814        188690
     166     1000    17000        2          2824       2252694
     167     1000    17000        3         64146        206812
     168     1000    17000        3         54528        188004
     169     1000    17000        2          3028        184103
     170     1000    17000        2          4785        187709
     171     1000    18000        3         50855        198977
     172     1000    18000        2          3989        199852
     173     1000    18000        2          3956        198872
     174     1000    18000        3         66932       2166698
     175     1000    18000        3         54102        194997
     176     1000    18000        3         42448        191054
     177     1000    18000        3         60213        196328
     178     1000    18000        3         44324       2148729
     179     1000    18000        2          4139        193096
     180     1000    18000        3         57362        195121
     181     1000    19000        3       1868316        209688
     182     1000    19000        4        197567        203263
     183     1000    19000        3         60509        210917
     184     1000    19000        3         63797       2397647
     185     1000    19000        2          4289        203928
     186     1000    19000        3         57886        199610
     187     1000    19000        3         69411       2159256
     188     1000    19000        3         58210        203475
     189     1000    19000        3         77981        205705
     190     1000    19000        3         54794        204390
