LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
      95      500     5000        3         14641        160988
      96      500     5000        2          1518         65304
      97      500     5000        3          5951         42772
      98      500     5000        4         38051         40999
      99      500     5000        3         14376         64567
     100      500     5000        3          8918         54397
     101      500     5500        4         63047         67114
     102      500     5500        3         19483         77262
     103      500     5500        4         64978         69886
     104      500     5500        3         24137         80329
     105      500     5500        3         10484         65892
     106      500     5500        3         16101         75494
     107      500     5500        3         20941         78616
     108      500     5500        3         21739         81143
     109      500     5500        3         12440         66769
     110      500     5500        3         22336         78856
     111      500     6000        3         30865         80870
     112      500     6000        3         19902         78025
     113      500     6000        3         18917         79187
     114      500     6000        3        158519         79355
     115      500     6000        3         17639         80674
     116      500     6000        3         19513         81085
     117      500     6000        3         13082         73631
     118      500     6000        2          2137         81163
     119      500     6000        3         14504         73755
     120      500     6000        2          1515         75764
     121      500     6500        0             4         86638
     122      500     6500        4         74423         81408
     123      500     6500        3         24943         86320
     124      500     6500        3         18748         82734
     125      500     6500        3         24024         85399
     126      500     6500        3         27781        360828
     127      500     6500        2          2543         81908
     128      500     6500        3         22494         79528
     129      500     6500        3         12249         73352
     130      500     6500        2          3109         83176
     131      500     7000        2          2802         94635
     132      500     7000        3         36840         89080
     133      500     7000        2          1782         87684
     134      500     7000        2          3303         89767
     135      500     7000        2          3156         89354
     136      500     7000        2          2514         89951
     137      500     7000        3         28477         89537
     138      500     7000        3         31294         89667
     139      500     7000        3         28361         89116
     140      500     7000        3         28455         89490
     141      500     7500        3         26707         91102
     142      500     7500        3        121161         91835
     143      500     7500        3         24227         90222
     144      500     7500        2          3460         91482
     145      500     7500        2          1850         88547
     146      500     7500        3         26830         91713
     147      500     7500        2          3733         92075
     148      500     7500        2          2927         92905
     149      500     7500        2          2744         92842
     150      500     7500        3         26313         92731
     151      500     8000        3         33613         91458
     152      500     8000        2          3031         91503
     153      500     8000        3         35582         91291
     154      500     8000        2          3241         92392
     155      500     8000        3         23910         91432
     156      500     8000        2          3571         91857
     157      500     8000        3         37017         91158
     158      500     8000        1           226         91702
     159      500     8000        2          2791         92991
     160      500     8000        3         39778         98509
     161      500     8500        3         34802        101377
     162      500     8500        2          3888         98374
     163      500     8500        3         44113         99686
     164      500     8500        2          3277        219595
     165      500     8500        2          3598         94062
     166      500     8500        3         36124         92040
     167      500     8500        3         39135         93520
     168      500     8500        2          3272         94630
     169      500     8500        3         41942         97989
     170      500     8500        2          4162         93976
     171      500     9000        2          2853        102456
     172      500     9000        3         36410        100746
     173      500     9000        3         55732        100804
     174      500     9000        3         51423        103122
     175      500     9000        3         50522        102847
     176      500     9000        3         39521        239885
     177      500     9000        2          5108         98632
     178      500     9000        2          3584         94681
     179      500     9000        3         50735         97347
     180      500     9000        2          3557         95015
     181      500     9500        3         65240        106011
     182      500     9500        3         45401        103849
     183      500     9500        2          3828        103100
     184      500     9500        3         52069        105300
     185      500     9500        2          4180        105504
     186      500     9500        2          3624        103614
     187      500     9500        3         46410        105831
     188      500     9500        3         34494        475975
     189      500     9500        3         43986         98916
     190      500     9500        2          4239         99224
REMOTE SEARCHER, REMOTE NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       1      500      500       -1          1061          4382
       2      500      500       -1          4720         22993
